season,round,slot,slot_confidence,price,player,position,nfl_team,fantasy_team,espn_overall_pick
2023,1,,round only,2,C.J. Stroud,QB,Hou,A. Zurek,91
2023,1,,round only,2,Dalton Kincaid,TE,Buf,A. Zurek,96
2023,1,,round only,2,Jahmyr Gibbs,RB,Det,A. Zurek,89
2023,1,,round only,2,Jaxon Smith-Njigba,WR,Sea,Jared,78
2023,1,,round only,2,Jonathan Mingo,WR,Car,Foley,81
2023,1,,round only,2,Jordan Addison,WR,Min,Abad,48
2023,1,,round only,2,Michael Mayer,TE,LV,Dugan,22
2023,1,,round only,2,Quentin Johnston,WR,LAC,Foley,80
2023,1,,round only,2,Zach Charbonnet,RB,Sea,Jared,72
2023,1,,round only,2,Zay Flowers,WR,Bal,Jared,76
2023,2,,round only,1,Chase Brown,RB,Cin,Ryan,59
2023,2,,round only,1,De'Von Achane,RB,Mia,Wayne,29
2023,2,,round only,1,Kendre Miller,RB,NO,Cantone,71
2023,2,,round only,1,Marvin Mims Jr.,WR,Den,A. Zurek,100
2023,2,,round only,1,Rashee Rice,WR,KC,Cantone,69
2023,2,,round only,1,Roschon Johnson,RB,Chi,Cantone,65
2023,2,,round only,1,Sam LaPorta,TE,Det,Cantone,70
2023,2,,round only,1,Tank Bigsby,RB,Jax,Jared,73
2023,2,,round only,1,Tyjae Spears,RB,Ten,Bill,45
2023,2,,round only,1,Zach Evans,RB,NYJ,Ryan,60
2024,1,,round only,2,Bo Nix,QB,Den,Faybik,3
2024,1,,round only,2,Brian Thomas Jr.,WR,Jax,Faybik,6
2024,1,,round only,2,Caleb Williams,QB,Chi,Abad,61
2024,1,,round only,2,Jayden Daniels,QB,Wsh,Jason,18
2024,1,,round only,2,Jonathon Brooks,RB,Car,Foley,98
2024,1,,round only,2,Keon Coleman,WR,Buf,Foley,92
2024,1,,round only,2,Ladd McConkey,WR,LAC,Bill,54
2024,1,,round only,2,Malik Nabers,WR,NYG,Jared,81
2024,1,,round only,2,Marvin Harrison Jr.,WR,Ari,Bill,50
2024,1,,round only,2,Rome Odunze,WR,Chi,Foley,89
2024,1,,round only,2,Trey Benson,RB,Ari,Faybik,9
2024,1,,round only,2,Xavier Worthy,WR,KC,Dugan,25
2024,2,,round only,1,Adonai Mitchell,WR,Ind,Foley,95
2024,2,,round only,1,Blake Corum,RB,LAR,Bill,53
2024,2,,round only,1,Brock Bowers,TE,LV,Jared,84
2024,2,,round only,1,Drake Maye,QB,NE,M. Zurek,47
2024,2,,round only,1,J.J. McCarthy,QB,Min,Jason,15
2024,2,,round only,1,Ja'Lynn Polk,WR,NO,Cantone,79
2024,2,,round only,1,Jaylen Wright,RB,Mia,Wayne,41
2024,2,,round only,1,MarShawn Lloyd,RB,GB,Bill,55
2024,2,,round only,1,Michael Penix Jr.,QB,Atl,Dugan,22
2024,2,,round only,1,Ricky Pearsall,WR,SF,A. Zurek,100
2024,2,,round only,1,Troy Franklin,WR,Den,Wayne,37
2024,2,,round only,1,Xavier Legette,WR,Car,Cantone,72
2025,1,,round only,2,Ashton Jeanty,RB,LV,Jared,69
2025,1,,round only,2,Cam Ward,QB,Ten,A. Zurek,86
2025,1,,round only,2,Colston Loveland,TE,Chi,Abad,44
2025,1,,round only,2,Emeka Egbuka,WR,TB,Jason,11
2025,1,,round only,2,Kaleb Johnson,RB,Pit,Bill,35
2025,1,,round only,2,Omarion Hampton,RB,LAC,M. Zurek,27
2025,1,,round only,2,Quinshon Judkins,RB,Cle,Abad,42
2025,1,,round only,2,RJ Harvey,RB,Den,Wayne,25
2025,1,,round only,2,Tetairoa McMillan,WR,Car,Jared,70
2025,1,,round only,2,Travis Hunter,WR,Jax,Abad,41
2025,1,,round only,2,TreVeyon Henderson,RB,NE,Ryan,53
2025,1,,round only,2,Tyler Warren,TE,Ind,Jason,8
2025,2,,round only,1,Bhayshul Tuten,RB,Jax,Foley,75
2025,2,,round only,1,Cam Skattebo,RB,NYG,Jared,63
2025,2,,round only,1,Elijah Arroyo,TE,SEA,Jason,10
2025,2,,round only,1,Jack Bech,WR,LV,Bill,33
2025,2,,round only,1,Jaxson Dart,QB,NYG,Ryan,57
2025,2,,round only,1,Jayden Higgins,WR,Hou,Faybik,1
2025,2,,round only,1,Jaydon Blue,RB,Dal,Bill,36
2025,2,,round only,1,Kyle Williams,WR,NE,Jason,12
2025,2,,round only,1,Luther Burden III,WR,Chi,Jared,71
2025,2,,round only,1,Mason Taylor,TE,NYJ,Wayne,22
2025,2,,round only,1,Matthew Golden,WR,GB,Ryan,55
2025,2,,round only,1,Tre' Harris,WR,LAC,Ryan,51
