Position,Player,NFL Team,IFFL Owner,IFFL Team,Price,KMD
QB,Mac Jones,SF,Jason,CATS,$7,D
TE,Theo Johnson,NYG,Jason,CATS,$7,D
RB,Austin Ekeler,WAS,Jason,CATS,$7,D
WR,Keon Coleman,BUF,Jason,CATS,$7,D
WR,Andrei Iosivas,,Jason,CATS,$7,D
TE,Zach Ertz,,Jason,CATS,$6,D
RB,Jarquez Hunter,,Jason,CATS,$6,D
QB,Josh Allen,BUF,M. Zurek,ZHOP,$74,D
RB,Jahmyr Gibbs,DET,M. Zurek,ZHOP,$32,K
RB,Saquon Barkley,PHI,M. Zurek,ZHOP,$64,D
QB,Justin Herbert,LAC,M. Zurek,ZHOP,$34,K
QB,Jayden Daniels,WAS,M. Zurek,ZHOP,$17,K
RB,De'Von Achane,MIA,M. Zurek,ZHOP,$31,K
WR,Davante Adams,LAR,M. Zurek,ZHOP,$19,K
RB,Kyren Williams,LAR,M. Zurek,ZHOP,$31,K
WR,Jameson Williams,DET,M. Zurek,ZHOP,$19,D
TE,David Njoku,,M. Zurek,ZHOP,$17,D
RB,Blake Corum,LAR,M. Zurek,ZHOP,$16,D
QB,Justin Fields,KC,M. Zurek,ZHOP,$7,D
TE,Cade Otton,,M. Zurek,ZHOP,$6,D
RB,Rico Dowdle,PIT,M. Zurek,ZHOP,$6,D
WR,Xavier Legette,,M. Zurek,ZHOP,$8,D
TE,Evan Engram,,M. Zurek,ZHOP,$8,D
QB,Russell Wilson,,M. Zurek,ZHOP,$8,D
RB,Roschon Johnson,,M. Zurek,ZHOP,$7,D
RB,Will Shipley,,M. Zurek,ZHOP,$7,D
WR,Joshua Palmer,,M. Zurek,ZHOP,$7,D
RB,Najee Harris,,M. Zurek,ZHOP,$7,D
WR,Darnell Mooney,,M. Zurek,ZHOP,$7,D
QB,Jalen Milroe,SEA,M. Zurek,ZHOP,$7,D
QB,Joe Milton,DAL,M. Zurek,ZHOP,$7,D
RB,Joe Mixon,HOU,M. Zurek,ZHOP,$7,D
RB,Phil Mafah,DAL,M. Zurek,ZHOP,$7,D
RB,Tahj Brooks,CIN,M. Zurek,ZHOP,$7,D
WR,Jalen McMillan,TB,M. Zurek,ZHOP,$7,D
WR,Tank Dell,HOU,M. Zurek,ZHOP,$7,D
QB,Jimmy Garoppolo,,M. Zurek,ZHOP,$6,D
RB,Isaac Guerendo,,M. Zurek,ZHOP,$6,D
WR,Ray-Ray McCloud,,M. Zurek,ZHOP,$6,D
WR,Adam Thielen,,M. Zurek,ZHOP,$6,D
TE,Jonnu Smith,,M. Zurek,ZHOP,$6,D
WR,Nick Westbrook-Ikhine,,M. Zurek,ZHOP,$6,D
WR,Rashod Bateman,,M. Zurek,ZHOP,$6,D
RB,Kendre Miller,,M. Zurek,ZHOP,$6,D
WR,Christian Kirk,,M. Zurek,ZHOP,$6,D
WR,DeMario Douglas,,M. Zurek,ZHOP,$6,D
RB,MarShawn Lloyd,,M. Zurek,ZHOP,$6,M
TE,Elijah Arroyo,,M. Zurek,ZHOP,$6,D
QB,Drake Maye,NE,Ryan,RYAN,$16,K
WR,DJ Moore,BUF,Ryan,RYAN,$21,K
WR,Malik Nabers,NYG,Ryan,RYAN,$17,K
TE,Tyler Warren,IND,Ryan,RYAN,$7,K
WR,Tee Higgins,CIN,Ryan,RYAN,$27,M
QB,Bryce Young,CAR,Ryan,RYAN,$17,M
RB,TreVeyon Henderson,NE,Ryan,RYAN,$7,K
RB,RJ Harvey,DEN,Ryan,RYAN,$7,K
WR,Emeka Egbuka,TB,Ryan,RYAN,$7,K
RB,Tony Pollard,TEN,Ryan,RYAN,$27,D
WR,DK Metcalf,PIT,Ryan,RYAN,$20,D
RB,Isiah Pacheco,,Ryan,RYAN,$21,D
RB,Trey Benson,,Ryan,RYAN,$9,D
QB,Anthony Richardson Sr.,IND,Ryan,RYAN,$8,D
QB,Shedeur Sanders,CLE,Ryan,RYAN,$7,D
RB,Tyler Allgeier,ARI,Ryan,RYAN,$7,D
RB,Kimani Vidal,LAC,Ryan,RYAN,$7,D
TE,Oronde Gadsden,,Ryan,RYAN,$7,D
WR,Kyle Williams,,Ryan,RYAN,$7,D
WR,Tre' Harris,LAC,Ryan,RYAN,$6,D
