Team,Position,Player ,2025 Price,2026 Price,2027 Price,Original Price,Purchase Year,Contract Year,Player Pool
Wayne,WR,Courtland Sutton,$20 ,$35 ,$55 ,$5 ,2023,3,Auction
Wayne,WR,Keenan Allen,$19 ,$29 ,$44 ,$14 ,2024,2,Auction
Wayne,WR,Puka Nacua,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Wayne,WR,Troy Franklin,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Wayne,WR,Marvin Mims Jr,$7 ,$17 ,$32 ,2,2024,2,Free Agent
Wayne,WR,Demarcus Robinson,$7 ,$17 ,$32 ,2,2024,2,Free Agent
Wayne,TE,Trey McBride,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Wayne,TE,Michael Mayer,$7 ,$17 ,$32 ,2,2024,2,Free Agent
Wayne,Draft Pick,2025 2.08,$1 ,$1 ,$6 ,1,,,Rookie Draft
Wayne,Draft Pick,2026 1.11,$2 ,$2 ,$7 ,$2,,,Rookie Draft
Wayne,Draft Pick,2026 2.11,$1 ,$1 ,$6 ,$1,,,Rookie Draft
